,Characteristics,Category,Year,Reading,Math,Writing,Percentage Distribution
0,All students,All students,2004-01-01,508.0,518.0,0.0,100.0
1,Top decile,High school rank,2004-01-01,584.0,602.0,0.0,29.0
2,Second decile,High school rank,2004-01-01,522.0,537.0,0.0,24.0
3,Second quintile,High school rank,2004-01-01,486.0,494.0,0.0,22.0
4,Third quintile,High school rank,2004-01-01,449.0,451.0,0.0,20.0
5,Fourth quintile,High school rank,2004-01-01,422.0,421.0,0.0,4.0
6,Fifth quintile,High school rank,2004-01-01,415.0,418.0,0.0,1.0
7,A+ (97-100),High school grade point average,2004-01-01,606.0,620.0,0.0,6.0
8,A (93-96),High school grade point average,2004-01-01,567.0,580.0,0.0,18.0
9,A- (90-92),High school grade point average,2004-01-01,537.0,549.0,0.0,17.0
10,B (80-89),High school grade point average,2004-01-01,480.0,486.0,0.0,47.0
11,C (70-79),High school grade point average,2004-01-01,429.0,431.0,0.0,11.0
12,"D, E, or F (below 70)",High school grade point average,2004-01-01,421.0,446.0,0.0,0.0
13,Agriculture and Related Sciences,Intended college major,2004-01-01,484.0,483.0,0.0,1.0
14,Architecture,Intended college major,2004-01-01,479.0,510.0,0.0,2.0
15,Arts: Visual/Performing,Intended college major,2004-01-01,517.0,501.0,0.0,8.0
16,Biological and Biomedical Sciences,Intended college major,2004-01-01,544.0,552.0,0.0,6.0
17,Business and Commerce,Intended college major,2004-01-01,486.0,509.0,0.0,13.0
18,Communications and Journalism,Intended college major,2004-01-01,525.0,505.0,0.0,4.0
19,Computer and Information sciences,Intended college major,2004-01-01,504.0,532.0,0.0,5.0
20,Education,Intended college major,2004-01-01,483.0,482.0,0.0,8.0
21,Engineering,Intended college major,2004-01-01,525.0,573.0,0.0,9.0
22,Foreign languages and literatures,Intended college major,2004-01-01,570.0,545.0,0.0,1.0
23,General/Interdisciplinary,Intended college major,2004-01-01,547.0,533.0,0.0,0.0
24,Health And Allied Services,Intended college major,2004-01-01,487.0,495.0,0.0,17.0
25,Home Economics,Intended college major,2004-01-01,460.0,461.0,0.0,0.0
26,Language And Literature,Intended college major,2004-01-01,603.0,547.0,0.0,2.0
27,Library And Archival Sciences,Intended college major,2004-01-01,567.0,515.0,0.0,0.0
28,Mathematics,Intended college major,2004-01-01,541.0,621.0,0.0,1.0
29,Military Sciences,Intended college major,2004-01-01,516.0,520.0,0.0,1.0
30,Philosophy And Religious Studies,Intended college major,2004-01-01,560.0,539.0,0.0,1.0
31,Physical Sciences,Intended college major,2004-01-01,564.0,587.0,0.0,2.0
32,Public Affairs And Services,Intended college major,2004-01-01,464.0,459.0,0.0,3.0
33,Social Sciences,Intended college major,2004-01-01,534.0,515.0,0.0,10.0
34,Technical And Vocational,Intended college major,2004-01-01,443.0,453.0,0.0,1.0
35,Undecided,Intended college major,2004-01-01,514.0,526.0,0.0,6.0
36,Certificate program,Degree-level goal,2004-01-01,441.0,456.0,0.0,1.0
37,Associate's Degree,Degree-level goal,2004-01-01,417.0,417.0,0.0,1.0
38,Bachelor's degree,Degree-level goal,2004-01-01,474.0,479.0,0.0,24.0
39,Master's degree,Degree-level goal,2004-01-01,511.0,520.0,0.0,29.0
40,Doctoral or related degree,Degree-level goal,2004-01-01,540.0,547.0,0.0,21.0
41,Other,Degree-level goal,2004-01-01,439.0,457.0,0.0,1.0
42,Undecided,Degree-level goal,2004-01-01,513.0,521.0,0.0,23.0
43,"Less than $20,000",Family income,2004-01-01,422.0,450.0,0.0,5.0
44,"Less than $20,000",Family income,2004-01-01,440.0,457.0,0.0,8.0
45,"$20,000, to $40,000",Family income,2004-01-01,459.0,467.0,0.0,10.0
46,"$20,000, to $40,000",Family income,2004-01-01,478.0,482.0,0.0,11.0
47,"$40,000, to $60,000",Family income,2004-01-01,493.0,496.0,0.0,9.0
48,"$40,000, to $60,000",Family income,2004-01-01,501.0,504.0,0.0,9.0
49,"$60,000, to $80,000",Family income,2004-01-01,507.0,510.0,0.0,8.0
50,"$60,000, to $80,000",Family income,2004-01-01,515.0,518.0,0.0,8.0
51,"$80,000 to $100,000",Family income,2004-01-01,527.0,530.0,0.0,12.0
52,"$100,000, to $150,000",Family income,2004-01-01,553.0,562.0,0.0,20.0
53,No high school diploma,Highest level of parental education,2004-01-01,415.0,445.0,0.0,5.0
54,High school diploma,Highest level of parental education,2004-01-01,469.0,474.0,0.0,33.0
55,Associate's Degree,Highest level of parental education,2004-01-01,486.0,490.0,0.0,9.0
56,Bachelor's degree,Highest level of parental education,2004-01-01,523.0,531.0,0.0,28.0
57,Graduate degree,Highest level of parental education,2004-01-01,558.0,564.0,0.0,25.0
58,All students,All students,2010-01-01,501.0,516.0,492.0,100.0
59,Top decile,High school rank,2010-01-01,578.0,606.0,575.0,34.0
60,Second decile,High school rank,2010-01-01,514.0,535.0,505.0,27.0
61,Second quintile,High school rank,2010-01-01,484.0,499.0,472.0,19.0
62,Bottom three quintiles ,High school rank,2010-01-01,441.0,450.0,429.0,20.0
63,A+ (97-100),High school grade point average,2010-01-01,599.0,621.0,596.0,6.0
64,A (93-96),High school grade point average,2010-01-01,563.0,584.0,558.0,19.0
65,A- (90-92),High school grade point average,2010-01-01,531.0,550.0,525.0,19.0
66,B (80-89),High school grade point average,2010-01-01,473.0,483.0,462.0,45.0
67,C (70-79),High school grade point average,2010-01-01,418.0,424.0,405.0,10.0
68,"D, E, or F (below 70)",High school grade point average,2010-01-01,411.0,422.0,399.0,0.0
69,Public,High school type,2010-01-01,498.0,511.0,488.0,84.0
70,"Private, religiously affiliated",High school type,2010-01-01,533.0,534.0,530.0,11.0
71,"Private, independent",High school type,2010-01-01,557.0,583.0,560.0,6.0
72,Agriculture and Related Sciences,Intended college major,2010-01-01,476.0,485.0,464.0,1.0
73,Architecture,Intended college major,2010-01-01,492.0,536.0,487.0,2.0
74,"Area, Ethnic, Cultural, and Gender Studies",Intended college major,2010-01-01,555.0,523.0,540.0,0.0
75,Arts: Visual/Performing,Intended college major,2010-01-01,513.0,501.0,503.0,8.0
76,Biological and Biomedical Sciences,Intended college major,2010-01-01,544.0,560.0,536.0,6.0
77,Business and Commerce,Intended college major,2010-01-01,490.0,523.0,487.0,12.0
78,Communications and Journalism,Intended college major,2010-01-01,524.0,506.0,520.0,3.0
79,Computer and Information sciences,Intended college major,2010-01-01,510.0,539.0,486.0,2.0
80,Construction Trades,Intended college major,2010-01-01,416.0,452.0,398.0,0.0
81,Education,Intended college major,2010-01-01,481.0,486.0,477.0,6.0
82,Engineering,Intended college major,2010-01-01,531.0,587.0,516.0,8.0
83,Engineering Technologies,Intended college major,2010-01-01,463.0,509.0,446.0,2.0
84,English Language and Literature,Intended college major,2010-01-01,587.0,532.0,572.0,2.0
85,Family and Consumer Sciences,Intended college major,2010-01-01,459.0,465.0,455.0,0.0
86,Foreign languages and literatures,Intended college major,2010-01-01,572.0,545.0,562.0,1.0
87,General/Interdisciplinary,Intended college major,2010-01-01,,,,
88,Health And Allied Services,Intended college major,2010-01-01,489.0,503.0,485.0,18.0
89,History,Intended college major,2010-01-01,545.0,516.0,516.0,1.0
90,Legal Professions And Studies,Intended college major,2010-01-01,511.0,506.0,499.0,3.0
91,"Liberal Arts And Sciences, General Studies, And Humanities",Intended college major,2010-01-01,559.0,539.0,549.0,1.0
92,Library And Archival Sciences,Intended college major,2010-01-01,558.0,505.0,519.0,0.0
93,Mathematics,Intended college major,2010-01-01,522.0,606.0,522.0,1.0
94,Mechanic And Repair Technologies Technician,Intended college major,2010-01-01,419.0,452.0,402.0,0.0
95,Military Sciences,Intended college major,2010-01-01,501.0,504.0,469.0,0.0
96,Multi/Interdisciplinary Studies,Intended college major,2010-01-01,605.0,598.0,592.0,0.0
97,Natural Resources And Conservation,Intended college major,2010-01-01,528.0,528.0,510.0,1.0
98,"Parks, Recreation, And Leisure Studies",Intended college major,2010-01-01,448.0,474.0,439.0,1.0
99,Personal And Culinary Services,Intended college major,2010-01-01,457.0,460.0,443.0,0.0
100,Philosophy And Religious Studies,Intended college major,2010-01-01,563.0,540.0,540.0,0.0
101,Physical Sciences,Intended college major,2010-01-01,558.0,588.0,540.0,1.0
102,Precision Production,Intended college major,2010-01-01,436.0,464.0,417.0,0.0
103,Psychology,Intended college major,2010-01-01,505.0,492.0,496.0,5.0
104,Public Affairs And Services,Intended college major,2010-01-01,469.0,459.0,462.0,0.0
105,Security And Protective Services,Intended college major,2010-01-01,448.0,459.0,438.0,2.0
106,Social Sciences,Intended college major,2010-01-01,,,,
107,Social Sciences,Intended college major,2010-01-01,574.0,558.0,559.0,2.0
108,Technical And Vocational,Intended college major,2010-01-01,,,,
109,Theology And Religious Vocations,Intended college major,2010-01-01,539.0,524.0,515.0,0.0
110,Transportation And Materials Moving,Intended college major,2010-01-01,464.0,496.0,451.0,0.0
111,Other,Intended college major,2010-01-01,456.0,465.0,447.0,2.0
112,Undecided,Intended college major,2010-01-01,532.0,548.0,524.0,7.0
113,Certificate program,Degree-level goal,2010-01-01,442.0,463.0,432.0,1.0
114,Associate's Degree,Degree-level goal,2010-01-01,414.0,421.0,405.0,1.0
115,Bachelor's degree,Degree-level goal,2010-01-01,477.0,488.0,466.0,28.0
116,Master's degree,Degree-level goal,2010-01-01,509.0,524.0,501.0,30.0
117,Doctoral or related degree,Degree-level goal,2010-01-01,537.0,551.0,529.0,21.0
118,Other,Degree-level goal,2010-01-01,431.0,452.0,427.0,1.0
119,Undecided,Degree-level goal,2010-01-01,516.0,529.0,507.0,18.0
